gamma_trg,gamma_ds,accept
-10.0,-0.5,0.0
-10.0,-0.375,0.0
-10.0,-0.25,0.0
-10.0,-0.125,0.0
-10.0,0.0,0.0
-10.0,0.125,8.333333333333333e-05
-10.0,0.25,0.0
-10.0,0.375,0.0
-10.0,0.5,0.0
-7.5,-0.5,0.0
-7.5,-0.375,0.0
-7.5,-0.25,0.0
-7.5,-0.125,8.333333333333333e-05
-7.5,0.0,0.0
-7.5,0.125,0.0
-7.5,0.25,0.0
-7.5,0.375,0.0
-7.5,0.5,0.0
-5.0,-0.5,0.0
-5.0,-0.375,0.0
-5.0,-0.25,0.0
-5.0,-0.125,8.333333333333333e-05
-5.0,0.0,0.0
-5.0,0.125,0.0
-5.0,0.25,0.0
-5.0,0.375,0.0
-5.0,0.5,0.0
-2.5,-0.5,8.333333333333333e-05
-2.5,-0.375,0.0
-2.5,-0.25,0.0
-2.5,-0.125,0.0
-2.5,0.0,0.0
-2.5,0.125,0.0
-2.5,0.25,8.333333333333333e-05
-2.5,0.375,0.0
-2.5,0.5,0.0
0.0,-0.5,0.0
0.0,-0.375,0.0
0.0,-0.25,8.333333333333333e-05
0.0,-0.125,0.0
0.0,0.0,0.0
0.0,0.125,0.0
0.0,0.25,0.0
0.0,0.375,0.0
0.0,0.5,0.0
2.5,-0.5,8.333333333333333e-05
2.5,-0.375,0.0
2.5,-0.25,0.0
2.5,-0.125,0.0
2.5,0.0,0.0
2.5,0.125,0.0
2.5,0.25,8.333333333333333e-05
2.5,0.375,0.0
2.5,0.5,0.0
5.0,-0.5,0.0
5.0,-0.375,0.0
5.0,-0.25,0.0
5.0,-0.125,0.0
5.0,0.0,8.333333333333333e-05
5.0,0.125,0.0
5.0,0.25,0.0
5.0,0.375,0.0
5.0,0.5,0.0
7.5,-0.5,0.0
7.5,-0.375,0.0
7.5,-0.25,0.0
7.5,-0.125,0.0
7.5,0.0,8.333333333333333e-05
7.5,0.125,0.0
7.5,0.25,0.0
7.5,0.375,0.0
7.5,0.5,8.333333333333333e-05
10.0,-0.5,0.0
10.0,-0.375,0.0
10.0,-0.25,0.0
10.0,-0.125,0.0
10.0,0.0,0.0
10.0,0.125,0.0
10.0,0.25,0.0
10.0,0.375,0.0
10.0,0.5,8.333333333333333e-05
